এই	ɛ i
তল	t ɔ l
কাউৰী	k a u ɹ i
দে	d ɛ
বিলাহী	b i l a ɦ i
নহ’লে	n ɔ ɦ o l ɛ
কমা	k ɔ m a
হীৰা	ɦ i ɹ a
নাহৰ	n a ɦ ɔ ɹ
এখেত	ɛ kʰ ɛ t
ধন্যবাদ	dʱ ɔ ɪ nː ɔ b a d
ফিৰিঙটি	pʰ i ɹ i ŋ ɔ t i
হাড়গিলা	ɦ a ɹ ɡ i l a
ঘাঁহ	ɡʱ ãʱ
টনা	t ɔ n a
টেমা	t ɛ m a
হাহাকাৰ	ɦ a ɦ a k a ɹ
চাক	s a k
এহেজাৰ	ɛ ɦ ɛ z a ɹ
বাহা	b a ɦ a
হাল	ɦ a l
কাঁচি	k ã s i
গাল	ɡ a l
বেলা	b ɛ l a
আবেলি	a b ɛ l i
ওলগ	ʊ l ɔ ɡ
বিন্ধা	b i n dʱ a
চকুপানী	s ɔ k u p a n i
বাউল	b a u l
দালাল	d a l a l
শৰণাৰ্থী	x ɔ ɹ ɔ n a ɹ tʰ i
লো	l ʊ
তাও	t a ʊ
গুলপীয়া	ɡ u l ɔ p i a
মইনা	m ɔ ɪ n a
খৰালি	kʰ ɔ ɹ a l i
হাঁচি	ɦ ã s i
লেতেৰা	l ɛ t ɛ ɹ a
ভাপ	bʱ a p
আম	a m
জাৰা	z a ɹ a
হাতুৰী	ɦ a t u ɹ i
উদং	u d ɔ ŋ
বেৰ	b ɛ ɹ
পলু	p ɔ l u
চু	s u
বাই	b a ɪ
জানা	z a n a
গুৰিওৱা	ɡ u ɹ i ʊ a
সোধা	x ʊ dʱ a
জোনবাই	z ʊ n b a ɪ
হালধি	h a l ɔ dʱ i
নমা	n ɔ m a
কঁঠাল	k ɔ̃ tʰ a l
মৌপিয়া	m o ʊ p i a
হেঁপাহ	ɦ ẽ p aʱ
কপাহ	k ɔ p aʱ
সাৰেং	x a ɹ ɛ ŋ
পিপৰা	p i p ɔ ɹ a
জকাই	z ɔ k a ɪ
জিভা	z i bʱ a
বিচ	b i s
ফুলনিবাৰী	pʰ u l ɔ n i b a ɹ i
আনা	a n a
চুঙা	s u ŋ a
দুৱাৰ	d u a ɹ
শুকুৱা	x u k u a
কাঁইটীয়া	k ã ɪ t i a
কানু	k a n u
বাটি	b a t i
মিঠা	m i tʰ a
ধাননি	dʱ a n ɔ n i
দেউতা	d ɛ ʊ t a
ডিমা	d i m a
আথৰ	a tʰ ɔ ɹ
মৰমৰ	m ɔ ɹ ɔ m ɔ ɹ
মকৰা	m ɔ k ɔ ɹ a
শিকোৱা	x i k ʊ a
ঢাকনি	dʱ a k ɔ n i
আখি	a kʰ i
সান	x a n
আঁচোৰ	ã s ʊ ɹ
খাৰু	kʰ a ɹ u
আহা	a ɦ a
ৰাইজ	ɹ a ɪ z
লোণ	l ʊ n
পঘা	p ɔ ɡʱ a
লেহেমীয়া	l ɛ ɦ ɛ m i a
এপ	ɛ p
চিগাৰেট	s i ɡ a ɹ ɛ t
কমাৰ	k ɔ m a ɹ
হেজাৰ	ɦ ɛ z a ɹ
দৈকলা	d ɔ i k ɔ l a
মৌচাক	m o ʊ s a k
আঢ়ৈ	a ɹʱ o ɪ
পোহা	p ʊ ɦ a
খুঁটা	kʰ ũ t a
খুঁটি	kʰ ũ t i
কঢ়া	k ɔ ɹʱ a
ধূলি	dʱ u l i
জোনাক	z ʊ n a k
ছিঙা	s i ŋ a
বহাগ	b ɔ ɦ a ɡ
থুঁতৰি	tʰ ũ t ɔ ɹ i
ফুলা	pʰ u l a
গাধ	ɡ a dʱ ɔ
হাটী	ɦ a t i
জাকৈ	z a k o ɪ
চোতাল	s ʊ t a l
তোপ	t ʊ p
নিগনি	n i ɡ ɔ n i
থিৰ	tʰ i ɹ
আম্মা	a m m a
কচু	k ɔ s u
বেঁকা	b ẽ k a
হাকিম	ɦ a k i m
জৰী	z ɔ ɹ i
শিপা	x i p a
চোলা	s ʊ l a
হিয়া	ɦ i a
বেৰা	b ɛ ɹ a
কাজ	k a z
কাছ	k a s ɔ
হালোৱা	ɦ a l ʊ a
ধেমালি	dʱ ɛ m a l i
চাহী	s a ɦ i
ছটিওৱা	s ɔ t i ʊ a
ডাব	d a b
খুচুৰা	kʰ u s u ɹ a
পনীয়া	p ɔ n i a
শিহা	x i ɦ a
শালিকা	x a l i k a
মূঢ়া	m u ɹʱ a
শামুক	x a m u k
ওৰ	ʊ ɹ
টেঙা	t ɛ ŋ a
কলডিল	k ɔ l d i l
বঙাল	b ɔ ŋ a l
পুং	p u ŋ
শুন	x u n
নামাজ	n a m a z
পঞ্চাছ	p ɔ n s a s
মেৰিওৱা	m ɛ ɹ i ʊ a
চেঁচা	s ẽ s a
জঁ	z ɔ̃
কিনা	k i n a
কেতিয়া	k ɛ t i a
আঞ্জা	a n z a
পোহৰোৱা	p ʊ ɦ ɔ ɹ ʊ a
মিহলোৱা	m i ɦ ɔ l ʊ a
পচোৱা	p ɔ s ʊ a
ঠেং	tʰ ɛ ŋ
ভতাৰ	bʱ ɔ t a ɹ
গঢ়া	ɡ ɔ ɹʱ a
কুৰুই	k u ɹ u i
বেক্টেৰিয়া	b ɛ k t ɛ ɹ i a
ইকৰা	i k ɔ ɹ a
কাঁইট	k ã i t
জেঠী	z ɛ tʰ i
